algorithm,f1,precision,recall,cover,rank
MicroWatch(idx=1),0.8746711380289159,0.906223802652374,0.8638605131928113,0.7711769934188637,1
MicroWatch(idx=4),0.8266564989992075,0.8657356532356533,0.8439661741525095,0.7191471984570704,2
PELT,0.8113477500341006,0.8640761568807788,0.8083092120669759,0.7095482089682623,3
BOCPD,0.7682095373503299,0.9644736842105263,0.6762213174570154,0.7000526780886894,4
MicroWatch(idx=5),0.7277203175708796,0.7988095238095237,0.7247029776067043,0.6867184308851935,5
MicroWatch(idx=3),0.7150564773473563,0.8119047619047619,0.6817127029859948,0.6824890251373711,6
MicroWatch(idx=2),0.6915157017250646,0.771703067191789,0.6865707153440073,0.6406181266359405,7
MicroWatch(idx=6),0.6893079931223031,0.6954117636325874,0.787430169899114,0.6250762440299307,8
MicroWatch(idx=0),0.6579608307519275,0.9880952380952381,0.5246286891162667,0.5762045264402212,9
CUSUM,0.49903052897511896,0.5181694767221083,0.61916341413481,0.4901043657605435,10
